link_id,road_nm,start_nd_cd,start_nd_nm,start_lng,start_lat,end_nd_cd,end_nd_nm,end_lng,end_lat,dist,xy_list,h3_index
1230073600,백제고분로41길,1230034000,송파여성문화회관,127.10895948817023,37.50636475123059,1230038200,수림빌딩,127.10524492509846,37.50972526371289,496.0,127.1051986111419581_37.5096857508824471|127.1053208564511436_37.5095948198186591|127.1071835438424955_37.5079111835807097|127.1087283100431620_37.5065058759755772|127.1089067989325230_37.5063306823744327,8930e1cab33ffff
1230073700,백제고분로41길,1230038200,수림빌딩,127.10524492509846,37.50972526371289,1230034000,송파여성문화회관,127.10895948817023,37.50636475123059,498.0,127.1090121774544599_37.5063988191619586|127.1088320871786124_37.5065755830448424|127.1072855074450700_37.5079825433765421|127.1054183123208361_37.5096702550608967|127.1052912402348340_37.5097647765238094,8930e1caba3ffff
1230074600,백제고분로45길,1230037100,신도빌딩,127.11134850441853,37.50889423800354,1230038000,청원빌딩,127.11019349422989,37.509473419892196,121.0,127.1101573434734604_37.5094276690800896|127.1113123532382900_37.5088484875410870,8930e1cf6dbffff
1230074700,백제고분로45길,1230038000,청원빌딩,127.11019349422989,37.509473419892196,1230037100,신도빌딩,127.11134850441853,37.50889423800354,121.0,127.1113846556429650_37.5089399884544790|127.1102296450304863_37.5095191706928190,8930e1cf6dbffff
1230076000,오금로18길,1230039100,백제고분로주유소,127.11113385048186,37.51079131974303,1230038000,청원빌딩,127.11019349422989,37.509473419892196,168.0,127.1102528623832910_37.5094472326680588|127.1108670913662877_37.5103308915455216|127.1111920848296819_37.5107635617679023,8930e1cf6dbffff
1230076100,오금로18길,1230038000,청원빌딩,127.11019349422989,37.509473419892196,1230039100,백제고분로주유소,127.11113385048186,37.51079131974303,168.0,127.1110756160908579_37.5108190776893480|127.1107494546450454_37.5103848522113026|127.1101341260362716_37.5094996079874292,8930e1cf6dbffff
1230076200,백제고분로45길,1230038000,청원빌딩,127.11019349422989,37.509473419892196,1230039700,레이크사이드타워,127.10699153885275,37.511099564831746,336.0,127.1069550580985350_37.5110539800361167|127.1101570123247626_37.5094278360746927,8930e1cf6dbffff
1230076300,백제고분로45길,1230039700,레이크사이드타워,127.10699153885275,37.511099564831746,1230038000,청원빌딩,127.11019349422989,37.509473419892196,336.0,127.1102299761794256_37.5095190036980171|127.1070280196513806_37.5111451496157216,8930e1caba7ffff
1120003101,명물길,1120004500,귀금속사거리,126.9369058593713,37.55724974635526,1120004900,신촌명물거리,126.93938982071164,37.55902406753865,294.0,126.9393460458863530_37.5590653963145016|126.9391313904544205_37.5589213056300650|126.9373353800876174_37.5575761297809976|126.9370496201559035_37.5573775340399365|126.9368721295379316_37.5572966657763985,8930e1d808bffff
1120003201,명물길,1120004900,신촌명물거리,126.93938982071164,37.55902406753865,1120004500,귀금속사거리,126.9369058593713,37.55724974635526,296.0,126.9369395902940738_37.5572028269247014|126.9371287798259686_37.5572890262117483|126.9374266006236667_37.5574960038265644|126.9392217635198818_37.5588405435680812|126.9394335966196365_37.5589827396477745,8930e1d808fffff
1120003301,연세로,1120004500,귀금속사거리,126.9369058593713,37.55724974635526,1120004800,창천감리교회,126.93691940573642,37.55894231718761,188.0,126.9368515015345196_37.5589428160810854|126.9368340470399659_37.5574372784594317|126.9368379635398014_37.5572488523044399,8930e1d808bffff
1120003401,연세로,1120004800,창천감리교회,126.93691940573642,37.55894231718761,1120004500,귀금속사거리,126.9369058593713,37.55724974635526,188.0,126.9369737563361866_37.5572506403676485|126.9369698696455231_37.5574376736014486|126.9369873099374360_37.5589418182550787,8930e1d8083ffff
1120014200,신촌로,1130028200,신촌로터리,126.93626386958401,37.55539038899482,1120004300,신촌역2번출구,126.9368030588894,37.55562196217441,57.0,126.9368030588893959_37.5556219621744134|126.9367619707854544_37.5555447886619120|126.9365015572182216_37.5554290301989795|126.9362638695840104_37.5553903889948231,8930e1d80c7ffff
1120014300,연세로5길,1120004500,귀금속사거리,126.9369058593713,37.55724974635526,1130028300,신촌현대백화점,126.93518719196166,37.55571892645729,232.0,126.9352491183241511_37.5556967490446851|126.9356969741435961_37.5564893345166482|126.9357546442551836_37.5565557486909398|126.9367282221445237_37.5571473890112912|126.9369266829999390_37.5571982907172099,8930e1d808bffff
1120014400,연세로5길,1130028300,신촌현대백화점,126.93518719196166,37.55571892645729,1120004500,귀금속사거리,126.9369058593713,37.55724974635526,242.0,126.9368850368457515_37.5573012019897732|126.9366643652368651_37.5572446039108812|126.9356551527703942_37.5566313071096900|126.9355782065883318_37.5565426944116538|126.9351252655617088_37.5557411047382530,8930e1d80c7ffff
1120061600,신촌로,1130029100,신촌기차역입구교차로,126.9428850939113,37.55661924575946,1130027600,신촌로터리,126.93755353137226,37.55521891460856,499.0,126.9375535313721741_37.5552189146084956|126.9376883483507896_37.5552573962598544|126.9380672017214238_37.5553821053374435|126.9405239851109144_37.5562031103494007|126.9411065700183343_37.5563785535666455|126.9413435957671084_37.5564299319996593|126.9416587672572518_37.5564793384705027|126.9421726120501006_37.5565245212881038|126.9428899325565681_37.5565653234083001,8930e1d8017ffff
1120061700,연세로,1120004500,귀금속사거리,126.9369058593713,37.55724974635526,1120004200,신촌역3번출구,126.93693884618169,37.555620062491556,181.0,126.9369388461816328_37.5556200624915562|126.9369737556025228_37.5572488239568472,8930e1d808bffff
1120061900,신촌로,1130028100,신촌로터리,126.93751078285572,37.555321538135914,1130029100,신촌기차역입구교차로,126.9428850939113,37.55661924575946,502.0,126.9428802552589133_37.5566731681098602|126.9421603127024696_37.5566322177843190|126.9416381561717486_37.5565863027997153|126.9413125983208204_37.5565352684162548|126.9410646097457942_37.5564815139261938|126.9404736625326251_37.5563035525064208|126.9380149733511871_37.5554819102566100|126.9376394493366291_37.5553582974838278|126.9375107828556679_37.5553215381359067,8930e1d8013ffff
1120062000,연세로,1120004300,신촌역2번출구,126.9368030588894,37.55562196217441,1120004500,귀금속사거리,126.9369058593713,37.55724974635526,181.0,126.9368379642700830_37.5572506687151844|126.9368030588893674_37.5556219621743566,8930e1d80c7ffff
1130002902,신촌로,1130027800,신촌로터리,126.93620787959907,37.55529188513532,1130028300,신촌현대백화점,126.93518719196166,37.55571892645729,102.0,126.9351591981021841_37.5556696751803116|126.9362078795990669_37.5552918851352473,8930e1d80c7ffff
